bridge_id,project_id,project_name,skill_tool_id,skill_tool_name,skill_tool_category,quantum_modality,theory_or_engineering
P01_SK01,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK01,Quantum State Representation (Hilbert Spaces),Skill,superconducting,theory
P01_SK02,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK02,Quantum Measurement Theory (Born Rule),Skill,superconducting,theory
P01_SK03,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK03,Quantum Decoherence & T1/T2 Relaxation,Skill,superconducting,theory
P01_SK04,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK04,Quantum Gate Model & Clifford+T,Skill,superconducting,theory
P01_SK05,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK05,Complex Vector Spaces & Tensor Products,Skill,superconducting,theory
P01_SK06,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK06,Eigendecomposition & Spectral Theorem,Skill,superconducting,theory
P01_SK07,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK07,Quantum Information Theory (von Neumann Entropy),Skill,superconducting,theory
P01_SK08,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK08,Quantum Error Correction — Stabiliser Formalism,Skill,superconducting,theory
P01_SK09,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK09,NISQ-Era Limitations & Error Mitigation,Skill,superconducting,hybrid
P01_SK10,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK10,Variational Quantum Eigensolver (VQE) Algorithm,Skill,superconducting,hybrid
P01_SK24,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK24,ML for Quantum Error Mitigation,Skill,superconducting,hybrid
P01_SK25,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK25,Hybrid Classical-Quantum Loops,Skill,superconducting,engineering
P01_SK26,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK26,PyTorch Production Patterns,Skill,superconducting,engineering
P01_SK27,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK27,REST API Design & FastAPI,Skill,superconducting,engineering
P01_SK32,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK32,SQL Data Modelling,Skill,superconducting,theory
P01_SK33,P01,Quantum-Enhanced Drug Molecule Screening via VQE,SK33,Container Orchestration (Docker/Kubernetes),Skill,superconducting,engineering
P01_TL01,P01,Quantum-Enhanced Drug Molecule Screening via VQE,TL01,Qiskit,Tool,superconducting,engineering
P01_TL02,P01,Quantum-Enhanced Drug Molecule Screening via VQE,TL02,Qiskit Aer,Tool,superconducting,engineering
P01_TL03,P01,Quantum-Enhanced Drug Molecule Screening via VQE,TL03,PyTorch,Tool,superconducting,engineering
P01_TL04,P01,Quantum-Enhanced Drug Molecule Screening via VQE,TL04,FastAPI,Tool,superconducting,engineering
P01_TL05,P01,Quantum-Enhanced Drug Molecule Screening via VQE,TL05,PostgreSQL,Tool,superconducting,engineering
