bridge_id,project_id,project_name,skill_tool_id,skill_tool_name,skill_tool_category
P01_SK01,P01,VC Due Diligence AI Analyst,SK01,RAG Architecture Design,AI/ML & LLM
P01_SK02,P01,VC Due Diligence AI Analyst,SK02,Prompt Engineering and System Design,AI/ML & LLM
P01_SK03,P01,VC Due Diligence AI Analyst,SK03,LLM Integration and Orchestration,AI/ML & LLM
P01_SK04,P01,VC Due Diligence AI Analyst,SK04,Requirements Discovery and Scoping Workshops,Product & Business
P01_SK05,P01,VC Due Diligence AI Analyst,SK05,Vector Database and Semantic Search,Data & Infra
P01_SK06,P01,VC Due Diligence AI Analyst,SK06,Full-Stack Web API Development,Full-Stack & APIs
P01_SK07,P01,VC Due Diligence AI Analyst,SK07,Data Pipeline Engineering and ETL,Data & Infra
P01_SK12,P01,VC Due Diligence AI Analyst,SK12,Enterprise Integration Patterns,Enterprise Integration
P01_SK14,P01,VC Due Diligence AI Analyst,SK14,Financial Modeling and ROI Analysis,Product & Business
P02_SK01,P02,Customer Support Multimodal Triage,SK01,RAG Architecture Design,AI/ML & LLM
P02_SK02,P02,Customer Support Multimodal Triage,SK02,Prompt Engineering and System Design,AI/ML & LLM
P02_SK03,P02,Customer Support Multimodal Triage,SK03,LLM Integration and Orchestration,AI/ML & LLM
P02_SK08,P02,Customer Support Multimodal Triage,SK08,Multimodal AI and Audio/Video Processing,AI/ML & LLM
P02_SK09,P02,Customer Support Multimodal Triage,SK09,Classification and Few-Shot Learning,AI/ML & LLM
P02_SK10,P02,Customer Support Multimodal Triage,SK10,Sentiment Analysis and NLP,AI/ML & LLM
P02_SK12,P02,Customer Support Multimodal Triage,SK12,Enterprise Integration Patterns,Enterprise Integration
P02_SK13,P02,Customer Support Multimodal Triage,SK13,Observability and Monitoring,MLOps/LLMOps
P02_SK15,P02,Customer Support Multimodal Triage,SK15,Cloud-Native Deployment and Containerization,Data & Infra
P02_SK16,P02,Customer Support Multimodal Triage,SK16,Stakeholder Discovery and Change Adoption,Product & Business
P03_SK02,P03,Fintech Fraud Detection Real-Time,SK02,Prompt Engineering and System Design,AI/ML & LLM
P03_SK03,P03,Fintech Fraud Detection Real-Time,SK03,LLM Integration and Orchestration,AI/ML & LLM
P03_SK06,P03,Fintech Fraud Detection Real-Time,SK06,Full-Stack Web API Development,Full-Stack & APIs
P03_SK11,P03,Fintech Fraud Detection Real-Time,SK11,Model Explainability and SHAP,MLOps/LLMOps
P03_SK13,P03,Fintech Fraud Detection Real-Time,SK13,Observability and Monitoring,MLOps/LLMOps
P03_SK14,P03,Fintech Fraud Detection Real-Time,SK14,Financial Modeling and ROI Analysis,Product & Business
P03_SK17,P03,Fintech Fraud Detection Real-Time,SK17,Compliance and Data Privacy Frameworks,Enterprise Integration
P03_SK18,P03,Fintech Fraud Detection Real-Time,SK18,Performance Tuning and Latency Optimization,Data & Infra
P03_SK19,P03,Fintech Fraud Detection Real-Time,SK19,Schema Design and Relational Data Modeling,Data & Infra
P04_SK03,P04,Supply Chain Demand Forecasting,SK03,LLM Integration and Orchestration,AI/ML & LLM
P04_SK06,P04,Supply Chain Demand Forecasting,SK06,Full-Stack Web API Development,Full-Stack & APIs
P04_SK07,P04,Supply Chain Demand Forecasting,SK07,Data Pipeline Engineering and ETL,Data & Infra
P04_SK13,P04,Supply Chain Demand Forecasting,SK13,Observability and Monitoring,MLOps/LLMOps
P04_SK14,P04,Supply Chain Demand Forecasting,SK14,Financial Modeling and ROI Analysis,Product & Business
P04_SK15,P04,Supply Chain Demand Forecasting,SK15,Cloud-Native Deployment and Containerization,Data & Infra
P04_SK20,P04,Supply Chain Demand Forecasting,SK20,Time-Series Forecasting and Seasonality,AI/ML & LLM
P04_SK21,P04,Supply Chain Demand Forecasting,SK21,A/B Testing and Experimentation,Product & Business
