project_id,project_name,domain,business_problem,fde_solution_summary,tech_stack_high_level,infrastructure_notes,integration_targets,portfolio_fit_notes,skill_stack_ids,skill_stack_names,tool_stack_ids,tool_stack_names
P01,VC Due Diligence AI Analyst,Venture Capital / Deal Flow,"VCs spend 40+ hours analyzing pitch decks, cap tables, and market comps manually. Decision cycles delay weeks. Need automated extraction and scoring of deal viability signals.","Build a multi-modal RAG pipeline that ingests PDFs (decks, financial docs), extracts structured signals (market size, team quality, traction), queries a vector store of comparable exits, and surfaces risk/opportunity scores via an internal API dashboard.","Next.js, FastAPI, Mistral API, LangChain, pgvector, Postgres, AWS S3, AWS Lambda, Pinecone","Serverless ingestion (Lambda), document storage on S3, vector embeddings stored in pgvector on RDS Postgres, inference via Mistral large-language-model API, frontend dashboard on Vercel.","Salesforce (deal tracking), Carta (cap table data), Slack (alert notifications)","Flagship solo project: demonstrates full-stack RAG (embeddings → retrieval → LLM reasoning), multi-modal document handling, API design for financial workflows, and direct business impact metrics (days saved per deal).","SK01, SK02, SK03, SK04, SK05, SK06, SK07, SK12, SK14","RAG Architecture Design, Prompt Engineering and System Design, LLM Integration and Orchestration, Requirements Discovery and Scoping Workshops, Vector Database and Semantic Search, Full-Stack Web API Development, Data Pipeline Engineering and ETL, Enterprise Integration Patterns, Financial Modeling and ROI Analysis","TL01, TL02, TL03, TL04, TL05, TL08, TL09, TL12, TL14, TL32, TL26","LangChain, Mistral API, pgvector, Postgres, FastAPI, AWS Lambda, Next.js, S3, React, Pinecone, GitHub Actions"
P02,Customer Support Multimodal Triage,Customer Support / Service Operations,"Support teams receive 500+ tickets/day via email, chat, phone, and video; 50% misrouted or require re-reading context. Escalation to specialists takes 2+ days. Need intelligent intake and first-pass resolution.","Multimodal ingestion pipeline that transcribes calls, extracts sentiment/intent from chat/email, classifies issue category using a fine-tuned classifier, retrieves relevant KB articles via RAG, and auto-drafts responses or escalates with full context to the right specialist.","React, Express.js, Mistral API, LangChain, Whisper (OpenAI), Qdrant, MongoDB, Node.js, Docker, GCP Cloud Run","Containerized microservices on GCP Cloud Run, message queue (Pub/Sub) for async processing, vector embeddings stored in Qdrant, KB documents in MongoDB, call transcription via Whisper API, async job queue for long-running classifications.","Zendesk (ticket system), Slack (team alerts), internal KB (Confluence), CRM (HubSpot)","Demonstrates multimodal ingestion (voice, text, chat), production-grade async architectures, fine-tuning workflows, and measurable ops impact (ticket resolution time, CSAT lift). Strong narrative for ops-focused FDE roles.","SK01, SK02, SK03, SK08, SK09, SK10, SK12, SK13, SK15, SK16","RAG Architecture Design, Prompt Engineering and System Design, LLM Integration and Orchestration, Multimodal AI and Audio/Video Processing, Classification and Few-Shot Learning, Sentiment Analysis and NLP, Enterprise Integration Patterns, Observability and Monitoring, Cloud-Native Deployment and Containerization, Stakeholder Discovery and Change Adoption","TL01, TL02, TL07, TL10, TL11, TL13, TL15, TL16, TL17, TL24, TL33","LangChain, Mistral API, Whisper, Qdrant, MongoDB, Express.js, Docker, GCP Cloud Run, Pub/Sub, Grafana, Zendesk API"
P03,Fintech Fraud Detection Real-Time,Financial Services / Fraud Prevention,Legacy fraud system has 12% false-positive rate (blocks legit transactions); mean time to detect fraud is 4 hours. Growing transaction volume demands sub-100ms latency and adaptive feature engineering.,"Replace batch-mode rules with real-time ML pipeline: ingest transactions as events, compute streaming features (velocity, geographic anomalies, merchant clustering), run low-latency ensemble model via ONNX, return accept/decline/challenge decision in <50ms with explainability.","Python, Kafka, Faust, XGBoost, ONNX, Redis, Postgres, Grafana, PagerDuty, AWS EC2 / ECS","Kafka topic per transaction flow, Faust for stateful stream processing (feature engineering), ONNX Runtime for <10ms inference, Redis for feature cache and state, Postgres for audit log, Grafana dashboards for fraud patterns, auto-scaling on ECS.","Core banking system (transaction feed), payment processor (authorization API), risk management platform","Deep systems engineering + ML: demonstrates streaming architectures, sub-100ms latency optimization, model explainability (SHAP), and compliance/audit trails. Strong fit for fintech and high-stakes FDE roles.","SK02, SK03, SK06, SK11, SK13, SK14, SK17, SK18, SK19","Prompt Engineering and System Design, LLM Integration and Orchestration, Full-Stack Web API Development, Model Explainability and SHAP, Observability and Monitoring, Financial Modeling and ROI Analysis, Compliance and Data Privacy Frameworks, Performance Tuning and Latency Optimization, Schema Design and Relational Data Modeling","TL18, TL19, TL20, TL22, TL23, TL24, TL25, TL27, TL28, TL04","Kafka, Faust, XGBoost, ONNX Runtime, Redis, Grafana, PagerDuty, dbt, SHAP, Postgres"
P04,Supply Chain Demand Forecasting,Supply Chain / Operations,Manual forecasting by regional managers leads to 30% overstock / 15% stockouts. Lead times are 6–12 weeks; stock decisions need 8-week horizon visibility. Seasonality and supply disruptions are poorly modeled.,"Build ML forecast pipeline ingesting 3-year sales history, external signals (macro, weather, events), and supply constraints. Fine-tune time-series model (Prophet / LSTM hybrid), expose via REST API, integrate dashboards into supply planning tool with what-if simulation.","Python, Flask, Prophet, PyTorch, Postgres, Looker, AWS S3, AWS SageMaker, GitHub Actions","Daily batch retraining on SageMaker, model artifacts stored on S3, Postgres for historical data and forecasts, Flask API for ad-hoc queries, Looker for stakeholder dashboards, GitHub Actions for CI/CD pipeline orchestration.","ERP system (sales + inventory data), Salesforce (demand signals), planning tools (like Kinaxis)","Demonstrates time-series domain expertise, stakeholder reporting (Looker), operational metrics (inventory turns, fill rates), and ROI modeling (working capital savings). Ideal for ops/supply-chain focused FDE tracks.","SK03, SK06, SK07, SK13, SK14, SK15, SK20, SK21","LLM Integration and Orchestration, Full-Stack Web API Development, Data Pipeline Engineering and ETL, Observability and Monitoring, Financial Modeling and ROI Analysis, Cloud-Native Deployment and Containerization, Time-Series Forecasting and Seasonality, A/B Testing and Experimentation","TL06, TL34, TL35, TL04, TL12, TL37, TL26, TL27","Flask, Prophet, PyTorch, Postgres, S3, Looker, GitHub Actions, dbt"
P05,Sales GTM Playbook and Automation,Sales / Go-To-Market,New sales hires take 6 months to ramp; deal cycles are inconsistent (30–180 days); best practices are tribal knowledge. Sales ops spend 15 hrs/week on manual data hygiene and email sequences.,"Design and ship a GTM automation system: parse historical deals (CRM), generate playbook templates via LLM (discovery questions, pitch angles, close tactics by deal stage), automate email sequences, identify bottleneck stages, and surface coaching recommendations to sales leadership.","Next.js, Python FastAPI, Mistral API, LangChain, Supabase, Stripe, SendGrid, Make","Frontend on Vercel, FastAPI backend on Fly.io or Railway, Postgres (via Supabase) for deal history and playbook templates, Stripe webhooks for customer lifecycle signals, SendGrid for templated email, Make for low-code CRM ↔ automation orchestration.","Salesforce (deal data, activity logs), Slack (deal alerts, bottleneck signals), LinkedIn Sales Navigator (prospect intel), email system (SendGrid)","End-to-end product demo: playbook generation (LLM → templates), sales ops automation, and clear metric narrative (ramp time, deal velocity). Showcases business process understanding and product thinking.","SK02, SK03, SK04, SK05, SK06, SK07, SK13, SK16, SK21, SK22, SK23","Prompt Engineering and System Design, LLM Integration and Orchestration, Requirements Discovery and Scoping Workshops, Vector Database and Semantic Search, Full-Stack Web API Development, Data Pipeline Engineering and ETL, Observability and Monitoring, Stakeholder Discovery and Change Adoption, A/B Testing and Experimentation, User Research and Product Validation, Sales Enablement and Go-To-Market","TL01, TL02, TL04, TL05, TL09, TL12, TL29, TL30, TL31, TL36, TL50","LangChain, Mistral API, Postgres, FastAPI, Next.js, S3, Stripe, SendGrid, Make, Salesforce API, Slack API"
P06,Engineering Productivity AI Copilot,Software Engineering / Developer Tools,"Engineers spend 30% of time on low-value tasks: writing boilerplate, debugging logs, refactoring old code. Code review cycles average 2 days. Test coverage is spotty (67%). IDE tooling is fragmented.","Build an AI-powered copilot integrated into VS Code: ingest codebase context (Git history, architecture docs, tests), use fine-tuned LLM to suggest refactorings, auto-generate test cases, summarize PRs, and surface risky changes. Implement as Language Server Protocol (LSP) plugin.","TypeScript, LSP, Mistral API, LangChain, Tree-sitter, Git, GitHub Actions, Postgres, Docker","LSP server runs locally or in Docker container, communicates with VS Code extension via JSON-RPC, codebase indexed via Tree-sitter, embeddings stored locally (SQLite) or remote Postgres, fine-tuning via SFT on internal codebases, CI/CD via GitHub Actions.","GitHub (PR metadata, code review), Jira (task context), Slack (team alerts on risky PRs)","Developer-tool narrative: demonstrates IDE/LSP protocol depth, fine-tuning workflows on proprietary data, and measurable velocity impact (code review time, test coverage). Strong for engineering-forward FDE tracks.","SK03, SK05, SK06, SK08, SK11, SK13, SK24, SK25, SK26","LLM Integration and Orchestration, Vector Database and Semantic Search, Full-Stack Web API Development, Multimodal AI and Audio/Video Processing, Model Explainability and SHAP, Observability and Monitoring, Fine-Tuning and Custom Model Adaptation, IDE and Developer Tooling, Code Generation and Program Synthesis","TL01, TL02, TL04, TL09, TL12, TL26, TL38, TL39, TL40","LangChain, Mistral API, Postgres, Next.js, S3, GitHub Actions, Tree-sitter, LSP, VS Code"
P07,Field Service Optimization and Routing,Field Services / Operations,Service dispatchers manually route 200+ technicians daily; average response time is 4 hours; travel time eats 35% of billable time. No predictive capability for demand spikes or technician churn.,"Real-time optimization engine: ingest service requests (priority, location, skills required), predict demand patterns via ML, solve vehicle routing problem (VRP) with time windows via OR-Tools, assign technicians with skill matching, and expose mobile app + dispatcher dashboard with re-optimization on new requests.","React Native, Node.js, Python, OR-Tools, Postgres, PostGIS, Redis, Google Maps API, Twilio, AWS EC2","Mobile app (React Native) for technician location updates, Node.js backend for real-time dispatch, Python microservice for VRP optimization (OR-Tools), PostGIS extension on Postgres for geo-queries, Redis for session state, Google Maps for routing and travel time matrices.","Dispatch system (request feed), CRM (technician profiles), mobile app (location, job completion), billing system (timesheets)","Demonstrates operations research depth (VRP, constraint solving), mobile deployment, and direct productivity impact (travel time, response SLA). Ideal for ops optimization FDE roles.","SK03, SK06, SK07, SK13, SK17, SK18, SK27, SK28, SK29","LLM Integration and Orchestration, Full-Stack Web API Development, Data Pipeline Engineering and ETL, Observability and Monitoring, Compliance and Data Privacy Frameworks, Performance Tuning and Latency Optimization, Spatial Data and Geolocation, Operations Research and Optimization, Mobile App Deployment and Cross-Platform Development","TL04, TL06, TL12, TL23, TL41, TL42, TL43, TL49, TL52, TL13","Postgres, Flask, S3, Redis, OR-Tools, PostGIS, Twilio, React Native, Google Maps API, Express.js"
P08,Healthcare Patient Outcome Prediction,Healthcare / Clinical Operations,"Hospital readmission rates are 15% (costly); clinicians lack early warning signals for high-risk patients. EHR data is fragmented; predictive models are 2 years old. Need HIPAA-compliant, interpretable predictions.","Build a HIPAA-compliant ML pipeline: ingest EHR data (labs, vitals, medications) via secure API, engineer features from unstructured clinical notes via NLP, train ensemble model (gradient boosting + LLM-based risk summarization), expose risk scores via secure dashboards with explainability (SHAP) and alert rules.","Python, FastAPI, XGBoost, spaCy, Postgres, HIPAA-compliant AWS (PrivateLink, encryption), Looker, Auth0","EHR data ingested via HL7 FHIR APIs into encrypted S3, processed via Lambda functions in private VPC, features stored in Postgres with column-level encryption, model inference via FastAPI on private EC2, dashboards via Looker with SSO (Auth0), audit logs for compliance.","EHR system (Epic, Cerner), alerting system (hospital pagers), patient portal","Regulatory and compliance depth (HIPAA, audit trails, explainability), healthcare domain expertise, and high-stakes decision-making. Compelling for regulated-industry FDE roles.","SK03, SK08, SK09, SK11, SK13, SK17, SK18, SK30, SK31","LLM Integration and Orchestration, Multimodal AI and Audio/Video Processing, Classification and Few-Shot Learning, Model Explainability and SHAP, Observability and Monitoring, Compliance and Data Privacy Frameworks, Performance Tuning and Latency Optimization, Healthcare Data Integration and Clinical NLP, Regulatory Compliance and Audit Trails","TL01, TL02, TL05, TL20, TL23, TL24, TL28, TL37, TL44, TL45, TL46, TL04","LangChain, Mistral API, FastAPI, XGBoost, Redis, Grafana, SHAP, Looker, spaCy, Auth0, HL7 FHIR, Postgres"
P09,Marketing Performance Attribution,Marketing / Analytics,"Marketing team spends $2M/year across channels (paid search, social, email, content, events) but cannot justify ROI; last-click attribution misses halo effects. Executives demand channel-level forecasts.","Build a multi-touch attribution model: ingest customer journey data (touchpoints, conversions, revenue), apply probabilistic attribution (Shapley values), correlate with external signals (seasonality, competitor activity), expose via Looker dashboard with what-if scenario builder and budget optimization recommendations.","Python, Looker, Postgres, Snowflake, dbt, Google Analytics API, Salesforce API, Jupyter","ETL via dbt (Snowflake warehouse), customer journey joined with revenue data, attribution model (Shapley or time-decay) computed in Jupyter notebooks or Python UDFs, Looker for interactive dashboards, Google Analytics and Salesforce APIs for data ingestion.","Google Analytics, Meta/Facebook Ads, LinkedIn Campaign Manager, Salesforce (revenue), email platform (Marketo)","Demonstrates analytics rigor (Shapley attribution), business metric storytelling, and marketing ops expertise. Strong for post-Series A / growth-stage FDE roles.","SK02, SK04, SK06, SK07, SK13, SK15, SK20, SK21, SK32, SK33","Prompt Engineering and System Design, Requirements Discovery and Scoping Workshops, Full-Stack Web API Development, Data Pipeline Engineering and ETL, Observability and Monitoring, Cloud-Native Deployment and Containerization, Time-Series Forecasting and Seasonality, A/B Testing and Experimentation, Marketing Analytics and Attribution, Executive Reporting and Data Storytelling","TL04, TL06, TL12, TL26, TL27, TL37, TL47, TL48, TL13","Postgres, Flask, S3, GitHub Actions, dbt, Looker, Snowflake, Google Analytics API, Express.js"
P10,Cinema Revenue Optimization and Pricing,Media & Entertainment / Cinema Operations,"Independent and chain cinemas use static pricing; they leave 15–25% revenue on the table. No dynamic pricing based on demand, competition, or audience mix. Seat inventory optimization is manual.","Design a revenue management system: model demand via LLM-powered review/buzz analysis, competitor pricing scraping, and historical patterns, recommend optimal prices per showtime/seat-type via ML, optimize concession bundles, and expose real-time revenue dashboards + mobile ticketing integration.","Next.js, Python FastAPI, Mistral API, LangChain, Postgres, Redis, Stripe, Twilio, AWS Lambda","Nightly batch pricing optimization via Lambda (Mistral for buzz analysis, ML model for price recommendations), real-time availability and pricing served via Redis cache, Postgres for transaction log, Stripe for payment processing, mobile app integrates Twilio for OTP.","POS system (ticketing, concessions), payment processor (Stripe), cinema chain systems (inventory, showtimes)","End-to-end domain deep-dive: demand forecasting, price optimization, and inventory management for specialized B2C use case. Personal relevance (cinema domain expertise) and clear revenue impact narrative.","SK02, SK03, SK04, SK06, SK07, SK14, SK20, SK21, SK22, SK34, SK35","Prompt Engineering and System Design, LLM Integration and Orchestration, Requirements Discovery and Scoping Workshops, Full-Stack Web API Development, Data Pipeline Engineering and ETL, Financial Modeling and ROI Analysis, Time-Series Forecasting and Seasonality, A/B Testing and Experimentation, User Research and Product Validation, Revenue Management and Pricing Strategy, Business Model Innovation","TL01, TL02, TL04, TL05, TL09, TL12, TL23, TL26, TL29, TL43, TL08","LangChain, Mistral API, Postgres, FastAPI, Next.js, S3, Redis, GitHub Actions, Stripe, Twilio, AWS Lambda"
