title,description,project,priority,labels,done
"Python Foundations","Core Python syntax, data structures, OOP, and tooling for ML/AI workflows","AI Engineer",2,"module",false
"FastAPI","REST API design, async endpoints, Pydantic models, and OpenAPI docs","AI Engineer",2,"module",false
"Data Viz — Seaborn + Plotly","Statistical and interactive visualizations for ML outputs and EDA","AI Engineer",2,"module",false
"TensorFlow","Neural network fundamentals, training loops, and Keras API","AI Engineer",2,"module",false
"PyTorch","Dynamic computation graphs, custom datasets, and model training pipelines","AI Engineer",2,"module",false
"LangChain & RAG","RAG pipelines, chains, memory, and retrieval-augmented generation patterns","AI Engineer",2,"module",false
"Vector Databases","Embeddings and similarity search with FAISS, Pinecone, and Chroma","AI Engineer",2,"module",false
"LLM Prompt Engineering","System prompts, few-shot, CoT, tool-use, and prompt evaluation","AI Engineer",2,"module",false
"ML Explainability","SHAP, LIME, feature importance, and model cards for interpretability","AI Engineer",2,"module",false
"Time-Series Forecasting","Prophet, LSTM, N-BEATS for temporal prediction tasks","AI Engineer",2,"module",false
"Streaming ML","Online learning, Faust, Kafka Streams, and concept drift detection","AI Engineer",2,"module",false
"MLOps & CI/CD","Model versioning, MLflow, CI pipelines, and automated deployment","AI Engineer",2,"module",false
"Capstone: ML Model API","End-to-end ML model trained, evaluated, and served via production API","AI Engineer",3,"module,capstone",false
"Shell Scripting","Bash scripting, cron, process management, and Unix tooling","Software Engineer",2,"module",false
"Node.js Fundamentals","Event loop, streams, modules, npm ecosystem, and async patterns","Software Engineer",2,"module",false
"Next.js Basics","App Router, server components, routing, and data fetching fundamentals","Software Engineer",2,"module",false
"Next.js Advanced","ISR, middleware, auth, advanced data fetching, and performance tuning","Software Engineer",2,"module",false
"Orchestration (Docker + CI/CD)","Docker Compose, multi-stage builds, GitHub Actions pipelines","Software Engineer",2,"module",false
"Testing Deep Dive","Unit, integration, and E2E testing with Jest, Playwright, and Vitest","Software Engineer",2,"module",false
"Performance Optimization","Profiling, bundle analysis, caching strategies, and Core Web Vitals","Software Engineer",2,"module",false
"Capstone: Full-Stack App","Production-grade full-stack application shipped end-to-end","Software Engineer",3,"module,capstone",false
"PostgreSQL Advanced","Window functions, CTEs, indexing strategies, and query optimization","Data Engineer",2,"module",false
"Django ORM","Models, migrations, querysets, signals, and admin customization","Data Engineer",2,"module",false
"MySQL / MariaDB","Schema design, replication, and differences with PostgreSQL","Data Engineer",2,"module",false
"Data Pipelines — Airflow","DAG design, operators, scheduling, and pipeline monitoring","Data Engineer",2,"module",false
"dbt Transformations","Modular SQL transforms, tests, docs, and incremental models","Data Engineer",2,"module",false
"Data Warehouse (Snowflake)","Snowflake architecture, stages, clustering, and cost optimization","Data Engineer",2,"module",false
"Observability & Monitoring","Metrics, traces, and logs with OpenTelemetry and Grafana","Data Engineer",2,"module",false
"Capstone: Data Platform","End-to-end data platform from ingestion to serving layer","Data Engineer",3,"module,capstone",false
"LLM Fundamentals","Transformer architecture, tokenization, and foundational concepts","AI Agents",2,"module",false
"LangChain","Chains, tools, memory, agents, and production LangChain patterns","AI Agents",2,"module",false
"LangGraph","Graph-based agent orchestration, state machines, and multi-agent flows","AI Agents",2,"module",false
"CrewAI","Role-based multi-agent systems and crew orchestration","AI Agents",2,"module",false
"MCP Tool Use","Model Context Protocol, tool definitions, and agent tool integration","AI Agents",2,"module",false
"Advanced RAG","Hybrid search, re-ranking, query rewriting, and RAG evaluation","AI Agents",2,"module",false
"Capstone: Agent System","Production multi-agent system with tool use and orchestration","AI Agents",3,"module,capstone",false
"CUDA Setup","Driver installation, CUDA toolkit, environment, and GPU verification","GPU Monitoring",2,"module",false
"nvidia-smi + nvtop","GPU metrics, monitoring commands, and power/memory profiling","GPU Monitoring",2,"module",false
"Remote Training Bridge","SSH tunneling, rsync workflows, and remote GPU job dispatch","GPU Monitoring",2,"module",false
"Training Dashboard","Real-time training metrics dashboard with WebSocket streaming","GPU Monitoring",2,"module",false
