tool_id,type,tool_name,tool_category,quantum_stack_relevance,candidate_gap,reference,project_ids,description,works_with,requires,transferability_notes,works_with_names,requires_names,project_names
TL01,tool,Qiskit,Quantum SDK,superconducting,yes,https://qiskit.org,"P01,P04,P06,P08,P12","IBM's open-source quantum computing framework. Gate model circuits, simulators (Aer statevector, QASM), hardware access via IBM Quantum, and VQE/QAOA implementations.","TL02,TL10,TL21,TL22,TL23,TL24",,Industry-standard superconducting QC SDK. Must-have for all FDE roles.,"Qiskit Aer,JAX,Qiskit Pulse,Prometheus,Grafana,FastAPI",,"Quantum-Enhanced Drug Molecule Screening via VQE,Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL02,tool,Qiskit Aer,Quantum Simulation,superconducting,yes,https://qiskit.org/documentation/aer/,"P01,P06,P08","High-performance quantum circuit simulator with noise model support. Statevector, QASM, and unitary simulators. NoiseModel for NISQ-era error characterisation.","TL01,TL10,TL21,TL22,TL23",TL01,Essential for error mitigation and NISQ algorithm development.,"Qiskit,JAX,Qiskit Pulse,Prometheus,Grafana",Qiskit,"Quantum-Enhanced Drug Molecule Screening via VQE,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Variational Quantum Classifier for Anomaly Detection in Sensor Networks"
TL03,tool,PyTorch,AI/ML & LLM,classical-only,no,https://pytorch.org,"P01,P02,P03,P04,P05,P06,P08,P09,P10,P11","Deep learning framework with autograd, distributed training, and GPU support. Core for hybrid quantum-classical loops and ML-based error mitigation.","TL10,TL04,TL13,TL20,TL21,TL22,TL26,TL35",,Candidate's stated strength: ESA production app in PyTorch + Flask. Direct hire signal.,"JAX,FastAPI,LangChain,Scikit-learn,Prometheus,Ray,TKET,PyTorch Geometric",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation"
TL04,tool,FastAPI,Full-Stack & APIs,classical-only,no,https://fastapi.tiangolo.com,"P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12","Modern async web framework for building REST APIs with automatic OpenAPI/Swagger docs, Pydantic validation, and production-ready deployment.","TL03,TL05,TL06,TL07,TL11,TL14,TL15,TL27,TL37",,Candidate's stated asset: ESA production app with REST APIs. Core FDE skill.,"PyTorch,PostgreSQL,Docker,GitHub Actions,Redis,Qdrant,Vault,Cinema POS API",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL05,tool,PostgreSQL,Data & Infra,classical-only,no,https://www.postgresql.org,"P01,P02,P04,P05,P06,P07,P08,P09,P10,P11","Production-grade relational database with JSONB, full-text search, and scalability. Standard for quantum job metadata, result storage, and circuit benchmarks.","TL04,TL06,TL07,TL11,TL14,TL15,TL30",,Candidate's EY audit experience with data model validation and ESA metadata management.,"FastAPI,Docker,GitHub Actions,Redis,Qdrant,LangChain,InfluxDB",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation"
TL06,tool,Docker,MLOps/LLMOps,classical-only,yes,https://www.docker.com,"P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12","Containerisation platform for reproducible, isolated quantum+AI applications. Dockerfile, image layers, registry management.","TL04,TL05,TL07,TL08,TL18,TL27",,Honest gap: candidate lacks Docker production experience. Critical MLOps hire signal.,"FastAPI,PostgreSQL,GitHub Actions,AWS Braket,Kubernetes,Vault",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL07,tool,GitHub Actions,MLOps/LLMOps,classical-only,yes,https://github.com/features/actions,"P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12","CI/CD workflows for automated testing, linting, and deployment. Integration with cloud quantum platforms for periodic circuit benchmarking.","TL06,TL08,TL18,TL27",,Honest gap but acquirable. Startup background may provide informal CI/CD familiarity.,"Docker,AWS Braket,Kubernetes,Vault",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL08,tool,AWS Braket,Quantum SDK,all,yes,https://aws.amazon.com/braket/,"P01,P02,P08","AWS cloud quantum computing service. Multi-vendor QPU access (IonQ, Rigetti, D-Wave), on-demand simulator, and hybrid job orchestration.","TL01,TL02,TL06,TL07,TL18",,Multi-modality QPU cloud platform. Enterprise FDE standard.,"Qiskit,Qiskit Aer,Docker,GitHub Actions,Kubernetes",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Variational Quantum Classifier for Anomaly Detection in Sensor Networks"
TL09,tool,Pulser SDK,Quantum SDK,neutral-atom,yes,https://pulser.readthedocs.io,P02,"Pasqal's Rydberg atom programming SDK. Pulse-level control, analog+digital hybrid circuits, QAOA design for neutral atoms, and device simulation.","TL10,TL04,TL05,TL11",,Pasqal specialisation. Optical tweezer background (McGill) maps directly to Rydberg control.,"JAX,FastAPI,PostgreSQL,Redis",,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation
TL10,tool,JAX,AI/ML & LLM,classical-only,yes,https://jax.readthedocs.io,"P02,P03,P04,P05,P10",Functional ML framework with automatic differentiation and GPU/TPU support. Alternative to PyTorch for quantum variational circuits and tensor operations.,"TL03,TL09,TL12,TL13,TL34,TL35",,Honest gap: candidate lacks JAX production experience. Growing importance in quantum ML.,"PyTorch,Pulser SDK,Perceval SDK,LangChain,QuTiP,PyTorch Geometric",,"Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking"
