skill_id,type,skill_name,skill_category,project_ids,description,tooling_or_library_examples,works_with,requires,transferability_notes,works_with_names,requires_names,project_names
SK01,skill,Requirements Discovery and Scoping Workshops,Product & Business,"P01, P04, P05, P06, P07, P08, P09, P10","Ability to run discovery sessions with stakeholders, extract ambiguous business problems, translate them into scoped technical requirements, and document acceptance criteria. FDEs spend 40% of time here.","Miro (collaborative whiteboarding), Notion (requirements doc), interview frameworks (RICE, user story mapping)","SK09, SK10, SK12",,Directly transfers across all domains; core FDE competency for any new customer engagement.,"Cross-functional Stakeholder Engagement, Business Impact and ROI Quantification, Customer Feedback Loops and Iteration",,"Venture Capital Due Diligence Automation Platform, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK02,skill,RAG Architecture Design,AI/ML & LLM,"P01, P02, P06, P08","Design of document ingestion, embedding, retrieval, and augmentation pipelines for LLM-powered applications. Includes chunking strategies, embedding model selection, vector DB tuning, and reranking.","LangChain (orchestration), LlamaIndex (retrieval), pgvector (Postgres extension), Qdrant (vector DB), embedding models (sentence-transformers, OpenAI), rerankers (Cohere, BGE)","SK03, SK04, SK06, SK26",SK03,"Applies to any domain requiring knowledge retrieval (support, ops, healthcare, legal).","Prompt Engineering and System Design, API Design and Contract Management, Database Schema Design and Query Optimization, Codebase Indexing and Semantic Search",Prompt Engineering and System Design,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Engineering Productivity AI Copilot with Code Review and Documentation, Hospital Patient Workflow Optimization and Clinical Documentation"
SK03,skill,Prompt Engineering and System Design,AI/ML & LLM,"P01, P02, P03, P04, P05, P06, P07, P09, P10","Craft of prompts to elicit desired behaviors from LLMs: reasoning, structured output, in-context learning, chain-of-thought, tool use. Includes system prompt design, few-shot examples, and iterative refinement.","LangChain (prompt templates), LiteLLM (model abstraction), OpenAI Playground, Mistral AI console","SK02, SK04, SK13, SK24, SK25, SK27, SK28",,Core competency across all LLM applications; nuances vary by domain but patterns reuse.,"RAG Architecture Design, API Design and Contract Management, Agentic Workflows and Tool Use, IDE Integration and Developer UX, Context Window Management and Prompt Optimization, Geospatial Data and Location Services, Mobile App Integration and Real-time Sync",,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK04,skill,API Design and Contract Management,Full-Stack & APIs,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10","Design of REST and async APIs for LLM applications: request/response schemas, error handling, versioning, rate limiting, contract testing. Ensures integrations with external systems are robust and maintainable.","FastAPI (Python), Express (Node.js), Pydantic (schema validation), OpenAPI/Swagger (documentation), Postman (testing)","SK05, SK06, SK08, SK11",SK05,Core backend pattern applicable to any FDE project; API-first thinking ensures scalability.,"Full-Stack Application Development, Database Schema Design and Query Optimization, Observability and Production Debugging, Structured Output Extraction and Parsing",Full-Stack Application Development,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK05,skill,Full-Stack Application Development,Full-Stack & APIs,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10","End-to-end web application development: frontend (React, Next.js), backend (FastAPI, Node.js), database design, state management, auth, deployment. FDEs must ship complete, production-ready features.","Next.js (full-stack framework), React (frontend), FastAPI (backend), Postgres (database), Docker (containerization), AWS/GCP/Azure (deployment)","SK04, SK06, SK08, SK11, SK24, SK25",,Universal FDE skill; languages and frameworks vary but patterns hold across domains.,"API Design and Contract Management, Database Schema Design and Query Optimization, Observability and Production Debugging, Structured Output Extraction and Parsing, IDE Integration and Developer UX, Context Window Management and Prompt Optimization",,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK06,skill,Database Schema Design and Query Optimization,Data & Infra,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10","Design of normalized/denormalized schemas for OLTP/OLAP workloads, indexing strategies, query optimization, and data warehouse modeling. Critical for shipping scalable integrations.","Postgres (primary DB), Snowflake (data warehouse), pgvector (extensions), explain plans (query analysis), dbt (transformation)","SK04, SK05, SK08, SK20",,Direct transfer across all FDE projects; schema patterns are domain-agnostic.,"API Design and Contract Management, Full-Stack Application Development, Observability and Production Debugging, Cost Optimization and Resource Allocation",,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK07,skill,Data Security and Privacy Compliance,Enterprise Integration,"P01, P08","Implementation of data governance, encryption (at rest/in transit), access control, audit logging, and compliance (GDPR, HIPAA, SOC2). FDEs embed in regulated industries and must ship securely.","Auth0 (identity), VPC isolation, encryption libraries, audit logging (DataDog, ELK), policy frameworks (OWASP)","SK08, SK29, SK30",SK08,"Applies to any regulated vertical (healthcare, finance, legal); patterns vary by regulation.","Observability and Production Debugging, HIPAA and Healthcare Compliance, Voice/Audio Processing and Transcription",Observability and Production Debugging,"Venture Capital Due Diligence Automation Platform, Hospital Patient Workflow Optimization and Clinical Documentation"
SK08,skill,Observability and Production Debugging,MLOps/LLMOps,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10","Instrumentation, monitoring, logging, and tracing of production systems. Includes metrics definition, alerting, on-call runbooks, and root cause analysis. FDEs must debug customer issues in real time.","Prometheus (metrics), DataDog (observability), ELK Stack (logging), Jaeger (tracing), PagerDuty (alerting)","SK04, SK05, SK06, SK19, SK20",SK05,Core FDE practice across all projects; tooling varies but observability mindset is universal.,"API Design and Contract Management, Full-Stack Application Development, Database Schema Design and Query Optimization, Pipeline Orchestration and Automation, Cost Optimization and Resource Allocation",Full-Stack Application Development,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK09,skill,Cross-functional Stakeholder Engagement,Product & Business,"P01, P04, P05, P08","Ability to communicate with diverse stakeholders (executives, ops teams, engineers, end users), gather feedback, manage expectations, and coordinate execution. FDEs are translator-liaisons between business and technology.","Stakeholder maps (Venn diagrams), decision frameworks (RACI), feedback loops (Slack, surveys), retrospectives","SK01, SK10, SK12",SK01,Core interpersonal skill; applies across all domains and project phases.,"Business Impact and ROI Quantification, Customer Feedback Loops and Iteration",Requirements Discovery and Scoping Workshops,"Venture Capital Due Diligence Automation Platform, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Hospital Patient Workflow Optimization and Clinical Documentation"
SK10,skill,Business Impact and ROI Quantification,Product & Business,"P01, P04, P05, P09, P10","Ability to define KPIs, measure project impact (time saved, revenue generated, cost reduced), and articulate business value. FDEs pitch projects in terms of business outcomes, not features.","Excel (financial modeling), Tableau (dashboards), attribution frameworks (Shapley values), A/B testing platforms","SK01, SK09, SK12, SK22",SK01,Universally applicable; ROI mindset transfers across all FDE engagements.,"Requirements Discovery and Scoping Workshops, Cross-functional Stakeholder Engagement, Customer Feedback Loops and Iteration, Experimentation and A/B Testing Frameworks",Requirements Discovery and Scoping Workshops,"Venture Capital Due Diligence Automation Platform, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
